run,subject_id,n_trials,held_out_sample_signature,accuracy,balanced_accuracy,macro_f1
kernel_k11,57,158,560bb705274959f046b113aa30e4267cdf67bfe39baafbd463b40059085f2dc3,0.8164556962025317,0.7683574879227053,0.7576839837640306
kernel_k11,58,157,ee221c396349fd192f4b6561d87571bda83f4644ddc505197460f8d978d9f7f5,0.5859872611464968,0.40367965367965364,0.3982244510707509
kernel_k11,59,158,50106a38a71ff293bb4192dd480e38e9932bc4a544c19bccb71410e1a1ccec8e,0.7215189873417721,0.6805339889579021,0.6623522396436213
kernel_k11,60,159,a3a1c3b0b4a609dd3af8aec6d657a81eeb1a579ab2e54d6dbbb84fb376be9732,0.6855345911949685,0.5558876811594202,0.5511940052700922
kernel_k11,61,156,ed0ce21af41cd8430d058fdad11c4f21b71636e54a1def8671d304ccc49e5b08,0.717948717948718,0.5670399648660518,0.5998892527312244
kernel_k11,62,157,e6cffdcb1d55c69c4a2717074ddd09722e4309abce7667bbff6bd6e8e4702230,0.7388535031847133,0.54100790513834,0.5935776818626344
kernel_k11,63,158,cdfd03c8cb520596b653abbe00cdb28700432617a1e9e1c0e16a584c119e54fb,0.6708860759493671,0.4835199824330259,0.5119599961832971
kernel_k11,64,156,fec136b6b26986339296b7e67a370b60a0ca1c0064edc9b358ed450b4d3ed29e,0.6346153846153846,0.46682978856891894,0.472913859647201
kernel_k11,65,158,0d143da414aa13b6994a9eae491bf7ec07f07d184fd4fbb9de35e155b685ec64,0.759493670886076,0.6347308488612836,0.648412494435848
kernel_k11,66,158,24ff9eb02511adadd026142b6781176e239b8f3285d1998d2b1e16fdfad18ab9,0.5316455696202531,0.37237593324549845,0.3608779197162736
kernel_k11,67,157,940caf84657e7674b0cb0d12c608bc3408b3bfa3def0cdb552a13df51947f86a,0.554140127388535,0.48719806763285023,0.46766548724753065
kernel_k11,68,158,7b3e814e8ea1f64ab4640cc106baa89b2aee5f397c92123106aa5d22502ba8f2,0.7531645569620253,0.7106829161176987,0.6909147798384343
kernel_k11,69,158,249b490abfa5998646ea787074efd0f0096c6758d1ad546eb7da16139ff5cfa8,0.6962025316455697,0.5380779848171152,0.566764878127389
kernel_k11,70,157,73e0fd72f6c1ac6793b1e52a472f9f5072ee0742a62ca09b306d8364444d8f32,0.7898089171974523,0.7744180939833114,0.7623572015188909
