run,outer_fold,actual_class,predicted_class,count
kernel_k11_13,8,3,3,98
kernel_k11_13,9,0,0,792
kernel_k11_13,9,0,1,61
kernel_k11_13,9,0,2,81
kernel_k11_13,9,0,3,56
kernel_k11_13,9,1,0,55
kernel_k11_13,9,1,1,148
kernel_k11_13,9,1,2,22
kernel_k11_13,9,1,3,21
kernel_k11_13,9,2,0,74
kernel_k11_13,9,2,1,26
kernel_k11_13,9,2,2,119
kernel_k11_13,9,2,3,25
kernel_k11_13,9,3,0,94
kernel_k11_13,9,3,1,37
kernel_k11_13,9,3,2,37
kernel_k11_13,9,3,3,77
kernel_k11_13,10,0,0,789
kernel_k11_13,10,0,1,33
kernel_k11_13,10,0,2,28
kernel_k11_13,10,0,3,50
kernel_k11_13,10,1,0,73
kernel_k11_13,10,1,1,103
kernel_k11_13,10,1,2,15
kernel_k11_13,10,1,3,37
kernel_k11_13,10,2,0,86
kernel_k11_13,10,2,1,22
kernel_k11_13,10,2,2,80
kernel_k11_13,10,2,3,32
kernel_k11_13,10,3,0,101
kernel_k11_13,10,3,1,25
kernel_k11_13,10,3,2,15
kernel_k11_13,10,3,3,83
kernel_k13,1,0,0,709
kernel_k13,1,0,1,38
kernel_k13,1,0,2,15
kernel_k13,1,0,3,138
kernel_k13,1,1,0,64
kernel_k13,1,1,1,102
kernel_k13,1,1,2,11
kernel_k13,1,1,3,51
kernel_k13,1,2,0,62
kernel_k13,1,2,1,19
kernel_k13,1,2,2,79
kernel_k13,1,2,3,62
kernel_k13,1,3,0,56
kernel_k13,1,3,1,26
kernel_k13,1,3,2,13
kernel_k13,1,3,3,129
kernel_k13,2,0,0,796
kernel_k13,2,0,1,29
kernel_k13,2,0,2,15
kernel_k13,2,0,3,60
kernel_k13,2,1,0,75
kernel_k13,2,1,1,91
kernel_k13,2,1,2,16
kernel_k13,2,1,3,46
kernel_k13,2,2,0,79
kernel_k13,2,2,1,13
kernel_k13,2,2,2,87
kernel_k13,2,2,3,43
kernel_k13,2,3,0,82
kernel_k13,2,3,1,14
kernel_k13,2,3,2,10
kernel_k13,2,3,3,118
kernel_k13,3,0,0,764
kernel_k13,3,0,1,27
kernel_k13,3,0,2,42
kernel_k13,3,0,3,67
kernel_k13,3,1,0,57
kernel_k13,3,1,1,101
kernel_k13,3,1,2,18
kernel_k13,3,1,3,49
kernel_k13,3,2,0,46
kernel_k13,3,2,1,17
kernel_k13,3,2,2,124
kernel_k13,3,2,3,37
kernel_k13,3,3,0,68
kernel_k13,3,3,1,12
kernel_k13,3,3,2,16
kernel_k13,3,3,3,129
kernel_k13,4,0,0,764
kernel_k13,4,0,1,36
kernel_k13,4,0,2,48
kernel_k13,4,0,3,52
kernel_k13,4,1,0,60
kernel_k13,4,1,1,115
kernel_k13,4,1,2,21
kernel_k13,4,1,3,27
kernel_k13,4,2,0,71
kernel_k13,4,2,1,16
kernel_k13,4,2,2,104
kernel_k13,4,2,3,36
kernel_k13,4,3,0,67
kernel_k13,4,3,1,13
kernel_k13,4,3,2,25
kernel_k13,4,3,3,119
kernel_k13,5,0,0,793
kernel_k13,5,0,1,55
kernel_k13,5,0,2,33
kernel_k13,5,0,3,19
kernel_k13,5,1,0,48
kernel_k13,5,1,1,139
kernel_k13,5,1,2,14
kernel_k13,5,1,3,26
kernel_k13,5,2,0,58
kernel_k13,5,2,1,22
kernel_k13,5,2,2,121
kernel_k13,5,2,3,22
kernel_k13,5,3,0,65
kernel_k13,5,3,1,43
kernel_k13,5,3,2,24
kernel_k13,5,3,3,92
kernel_k13,6,0,0,801
kernel_k13,6,0,1,37
kernel_k13,6,0,2,20
kernel_k13,6,0,3,42
kernel_k13,6,1,0,80
kernel_k13,6,1,1,110
kernel_k13,6,1,2,16
kernel_k13,6,1,3,22
kernel_k13,6,2,0,73
kernel_k13,6,2,1,15
kernel_k13,6,2,2,100
kernel_k13,6,2,3,34
kernel_k13,6,3,0,79
kernel_k13,6,3,1,27
kernel_k13,6,3,2,20
kernel_k13,6,3,3,98
kernel_k13,7,0,0,877
kernel_k13,7,0,1,29
kernel_k13,7,0,2,35
kernel_k13,7,0,3,49
kernel_k13,7,1,0,71
kernel_k13,7,1,1,120
kernel_k13,7,1,2,21
kernel_k13,7,1,3,35
kernel_k13,7,2,0,69
kernel_k13,7,2,1,10
kernel_k13,7,2,2,133
kernel_k13,7,2,3,30
kernel_k13,7,3,0,84
kernel_k13,7,3,1,26
kernel_k13,7,3,2,23
kernel_k13,7,3,3,114
kernel_k13,8,0,0,830
kernel_k13,8,0,1,49
kernel_k13,8,0,2,34
kernel_k13,8,0,3,77
kernel_k13,8,1,0,66
kernel_k13,8,1,1,133
kernel_k13,8,1,2,8
kernel_k13,8,1,3,41
kernel_k13,8,2,0,65
kernel_k13,8,2,1,14
kernel_k13,8,2,2,115
kernel_k13,8,2,3,48
kernel_k13,8,3,0,79
kernel_k13,8,3,1,20
kernel_k13,8,3,2,16
kernel_k13,8,3,3,130
kernel_k13,9,0,0,823
kernel_k13,9,0,1,63
kernel_k13,9,0,2,44
kernel_k13,9,0,3,60
kernel_k13,9,1,0,76
kernel_k13,9,1,1,122
kernel_k13,9,1,2,19
kernel_k13,9,1,3,29
kernel_k13,9,2,0,96
kernel_k13,9,2,1,19
kernel_k13,9,2,2,90
kernel_k13,9,2,3,39
kernel_k13,9,3,0,113
kernel_k13,9,3,1,22
kernel_k13,9,3,2,22
kernel_k13,9,3,3,88
kernel_k13,10,0,0,777
kernel_k13,10,0,1,19
kernel_k13,10,0,2,57
kernel_k13,10,0,3,47
kernel_k13,10,1,0,67
kernel_k13,10,1,1,92
kernel_k13,10,1,2,37
kernel_k13,10,1,3,32
kernel_k13,10,2,0,83
kernel_k13,10,2,1,7
kernel_k13,10,2,2,111
kernel_k13,10,2,3,19
kernel_k13,10,3,0,91
kernel_k13,10,3,1,15
kernel_k13,10,3,2,24
kernel_k13,10,3,3,94
kernel_k7,1,0,0,819
kernel_k7,1,0,1,25
kernel_k7,1,0,2,24
kernel_k7,1,0,3,32
kernel_k7,1,1,0,97
kernel_k7,1,1,1,98
kernel_k7,1,1,2,13
kernel_k7,1,1,3,20
kernel_k7,1,2,0,103
kernel_k7,1,2,1,12
kernel_k7,1,2,2,74
kernel_k7,1,2,3,33
kernel_k7,1,3,0,105
kernel_k7,1,3,1,21
kernel_k7,1,3,2,28
kernel_k7,1,3,3,70
kernel_k7,2,0,0,798
kernel_k7,2,0,1,28
kernel_k7,2,0,2,21
kernel_k7,2,0,3,53
kernel_k7,2,1,0,83
kernel_k7,2,1,1,102
kernel_k7,2,1,2,16
kernel_k7,2,1,3,27
kernel_k7,2,2,0,77
kernel_k7,2,2,1,11
kernel_k7,2,2,2,104
kernel_k7,2,2,3,30
kernel_k7,2,3,0,86
kernel_k7,2,3,1,16
kernel_k7,2,3,2,18
kernel_k7,2,3,3,104
kernel_k7,3,0,0,808
kernel_k7,3,0,1,23
kernel_k7,3,0,2,32
kernel_k7,3,0,3,37
kernel_k7,3,1,0,68
kernel_k7,3,1,1,106
kernel_k7,3,1,2,21
kernel_k7,3,1,3,30
kernel_k7,3,2,0,62
kernel_k7,3,2,1,7
kernel_k7,3,2,2,122
kernel_k7,3,2,3,33
kernel_k7,3,3,0,77
kernel_k7,3,3,1,12
kernel_k7,3,3,2,32
kernel_k7,3,3,3,104
kernel_k7,4,0,0,749
kernel_k7,4,0,1,30
kernel_k7,4,0,2,53
kernel_k7,4,0,3,68
kernel_k7,4,1,0,47
kernel_k7,4,1,1,110
kernel_k7,4,1,2,24
kernel_k7,4,1,3,42
kernel_k7,4,2,0,86
kernel_k7,4,2,1,10
kernel_k7,4,2,2,103
kernel_k7,4,2,3,28
kernel_k7,4,3,0,70
kernel_k7,4,3,1,7
kernel_k7,4,3,2,38
kernel_k7,4,3,3,109
kernel_k7,5,0,0,801
kernel_k7,5,0,1,38
kernel_k7,5,0,2,36
kernel_k7,5,0,3,25
kernel_k7,5,1,0,53
kernel_k7,5,1,1,126
kernel_k7,5,1,2,23
kernel_k7,5,1,3,25
kernel_k7,5,2,0,66
kernel_k7,5,2,1,8
kernel_k7,5,2,2,123
kernel_k7,5,2,3,26
kernel_k7,5,3,0,69
kernel_k7,5,3,1,27
kernel_k7,5,3,2,26
kernel_k7,5,3,3,102
kernel_k7,6,0,0,736
kernel_k7,6,0,1,28
kernel_k7,6,0,2,61
kernel_k7,6,0,3,75
kernel_k7,6,1,0,60
kernel_k7,6,1,1,101
kernel_k7,6,1,2,32
kernel_k7,6,1,3,35
kernel_k7,6,2,0,57
kernel_k7,6,2,1,6
kernel_k7,6,2,2,114
kernel_k7,6,2,3,45
kernel_k7,6,3,0,69
kernel_k7,6,3,1,21
kernel_k7,6,3,2,27
